client_id,signup_date,weight,age,is_mom,spendiness_top,dress_size,boho_score_inferred,casual_score_inferred,classic_score_inferred,glam_score_inferred,romantic_score_inferred,edgy_score_inferred,preppy_score_inferred,profession,shipping_state,spendiness_bottom,business_score,laidback_score,cocktail_score,nightout_score
95,13:09.4,150,53,t,cheaper_the_better,M,9,5,8,8,6,6,3,Client Services,IA,cheaper_the_better,7,7,6,6
96,14:11.1,145,33,f,50_100,M,5,8,5,4,6,5,5,Fashion,MN,100_150,8,5,2,3
97,28:15.3,123,30,f,100_150,S,5,6,5,3,6,2,5,Other,CA,100_150,6,6,5,8
98,45:22.3,129,29,t,cheaper_the_better,S,3,3,5,7,4,4,6,Medicine,TX,cheaper_the_better,6,6,3,4
99,54:41.9,140,34,t,cheaper_the_better,M,7,3,7,6,5,5,4,Education,MA,cheaper_the_better,9,6,6,3
100,44:45.1,160,43,t,100_150,L,5,4,7,5,2,6,7,Technology,NV,100_150,5,8,2,4
101,29:50.8,120,23,f,50_100,S,4,7,6,3,5,4,5,Education,VA,cheaper_the_better,7,5,5,6
102,05:46.5,175,36,t,cheaper_the_better,L,5,9,3,8,6,4,7,Management,CA,cheaper_the_better,5,8,5,4
103,43:12.9,135,52,t,cheaper_the_better,M,4,5,4,2,3,3,7,Finance,CO,50_100,8,7,4,5
104,03:50.5,135,28,f,cheaper_the_better,S,6,6,8,3,6,4,8,Finance,WA,50_100,3,9,3,6
105,48:46.6,96,39,t,50_100,XS,3,8,5,5,6,7,6,Finance,HI,50_100,5,6,3,6
106,49:05.8,115,24,f,cheaper_the_better,XS,9,6,7,8,4,8,3,Client Services,TX,50_100,8,7,5,8
107,01:54.2,108,29,t,cheaper_the_better,XS,6,4,5,9,8,2,5,Law,IA,50_100,8,3,3,5
108,29:28.5,130,29,f,cheaper_the_better,S,3,8,7,9,4,7,6,Student,PA,cheaper_the_better,8,6,3,4
109,37:39.9,160,35,t,cheaper_the_better,M,7,8,3,6,6,2,3,Other,CA,150_200,2,5,3,5
110,02:50.0,134,33,t,cheaper_the_better,M,8,8,3,4,4,4,2,Retail,TX,cheaper_the_better,7,7,3,4
111,33:40.6,138,25,f,50_100,M,6,6,8,5,4,6,6,Other,PA,100_150,8,8,4,3
112,40:07.6,160,28,f,50_100,S,3,6,4,4,7,4,6,Law,MA,50_100,5,7,6,8
113,23:25.4,122,29,f,cheaper_the_better,S,2,7,7,7,5,3,5,Law,CA,50_100,5,8,6,8
114,22:11.7,126,34,t,50_100,S,5,3,8,6,7,5,3,Management,OH,50_100,4,9,3,8
115,54:05.2,150,28,f,50_100,M,5,7,5,3,6,5,5,Client Services,CO,50_100,7,5,5,3
116,28:24.0,135,36,t,cheaper_the_better,S,5,7,5,6,9,9,7,Education,MO,cheaper_the_better,8,5,7,7
117,42:36.8,145,34,f,cheaper_the_better,M,6,5,3,4,5,5,2,Technology,FL,cheaper_the_better,5,9,4,5
118,27:33.0,124,38,t,cheaper_the_better,S,3,8,6,4,4,6,3,Homemaker,AP,cheaper_the_better,4,9,2,6
119,24:34.8,122,26,f,50_100,S,4,8,5,6,5,2,8,Marketing,VA,100_150,7,9,6,4
120,44:33.3,165,50,t,100_150,M,2,6,6,5,6,4,5,Management,NH,150_200,4,5,5,5
121,50:19.1,170,28,f,50_100,L,4,5,4,4,4,3,7,Technology,GA,50_100,7,5,6,7
122,02:22.0,127,29,f,100_150,S,2,5,9,3,4,3,8,Other,MA,100_150,5,6,3,7
123,01:38.9,145,31,f,cheaper_the_better,M,2,6,5,7,2,6,7,Management,FL,50_100,9,5,7,6
124,55:25.0,165,35,f,cheaper_the_better,L,7,7,7,6,6,4,3,Other,IL,50_100,8,9,3,3
125,15:22.7,90,23,f,50_100,XS,2,8,4,6,4,4,8,Student,CA,50_100,3,5,4,5
126,25:20.2,157,28,f,50_100,M,5,8,8,7,4,5,8,Education,VA,50_100,5,9,5,4
127,04:35.7,118,32,f,cheaper_the_better,XS,5,7,6,4,6,8,5,Other,MA,cheaper_the_better,8,8,3,8
128,50:32.0,155,36,t,50_100,M,3,4,8,4,4,3,5,Education,MA,50_100,5,7,3,2
129,18:39.4,135,33,f,cheaper_the_better,M,2,7,4,5,3,4,6,Finance,KY,50_100,9,5,2,6
130,13:08.7,128,31,t,50_100,S,7,5,7,4,2,3,8,Marketing,CT,50_100,5,8,5,6
131,41:15.2,140,30,f,cheaper_the_better,M,5,4,3,8,6,8,6,Education,NJ,cheaper_the_better,4,6,3,8
132,50:55.3,130,60,t,50_100,S,4,8,4,6,4,4,3,Other,IL,50_100,9,8,6,7
133,42:34.7,119,34,t,50_100,M,2,5,7,3,2,5,7,Homemaker,SC,50_100,5,5,5,8
134,27:02.8,175,43,t,50_100,L,7,6,6,2,6,3,8,Homemaker,MD,cheaper_the_better,3,5,2,5
135,30:23.5,125,33,t,cheaper_the_better,S,3,7,5,4,3,7,3,Client Services,NC,50_100,6,7,4,7
136,15:23.3,180,20,f,cheaper_the_better,L,7,6,6,4,6,4,3,Client Services,CA,50_100,9,5,7,6
137,26:10.9,140,43,t,100_150,M,6,8,7,3,3,3,6,Fashion,CA,100_150,6,7,5,4
138,39:12.3,175,29,f,50_100,M,3,5,6,3,3,7,7,Medicine,CA,50_100,7,5,5,7
139,11:21.9,134,36,f,cheaper_the_better,M,4,7,8,5,7,4,7,Medicine,MS,cheaper_the_better,9,7,4,4
140,12:39.2,145,24,t,cheaper_the_better,M,6,4,3,5,4,4,8,Finance,CA,cheaper_the_better,6,7,2,4
141,34:19.2,150,28,f,cheaper_the_better,L,2,7,7,5,7,6,3,Medicine,NJ,50_100,5,8,2,5
142,14:19.0,123,30,f,50_100,M,5,4,6,5,3,8,2,Marketing,TX,50_100,6,8,7,7
143,49:31.4,135,28,f,50_100,S,2,5,8,3,4,6,4,Marketing,AR,100_150,7,7,7,6
144,08:44.8,124,31,f,50_100,S,3,6,6,4,3,6,6,Marketing,CA,50_100,8,6,4,6
145,39:11.0,134,32,f,50_100,S,5,5,7,5,2,4,4,Marketing,PA,50_100,7,6,3,6
146,24:13.3,180,24,f,cheaper_the_better,L,5,6,5,3,6,5,5,Marketing,IN,cheaper_the_better,5,8,6,8
147,50:57.5,132,22,f,50_100,M,9,6,5,6,5,4,2,Finance,TX,50_100,8,7,4,8
148,37:15.4,141,30,t,50_100,M,5,7,5,7,3,6,5,Management,TX,50_100,8,7,3,6
149,49:11.3,175,34,f,50_100,L,5,4,7,5,6,4,5,Marketing,VA,50_100,9,5,4,8
150,10:16.7,125,29,f,50_100,S,4,5,5,5,5,4,8,Education,OK,50_100,9,7,4,8
151,25:57.7,145,30,f,50_100,M,6,9,4,4,4,5,4,Client Services,MD,50_100,6,8,5,8
152,48:35.7,112,31,f,100_150,XS,4,7,6,8,5,5,7,Other,MD,150_200,5,5,7,6
153,03:26.2,170,28,f,100_150,L,5,8,5,4,5,5,8,Marketing,NY,150_200,5,5,6,4
154,02:24.9,100,32,f,cheaper_the_better,XS,3,7,7,6,7,4,4,Management,CA,50_100,5,9,6,5
155,05:54.0,126,31,t,cheaper_the_better,XS,5,6,7,3,3,2,5,Management,TX,cheaper_the_better,5,5,3,6
156,17:13.2,125,28,f,cheaper_the_better,M,3,7,6,3,7,4,5,Medicine,NY,cheaper_the_better,7,8,2,5
157,02:41.2,147,40,f,50_100,M,4,6,6,2,4,7,3,Homemaker,TX,150_200,6,7,4,5
158,27:05.0,150,33,t,50_100,M,3,6,3,4,6,4,3,Education,MA,50_100,5,7,7,5
159,08:15.7,120,42,t,100_150,XS,5,6,8,4,6,4,7,Marketing,NY,150_200,7,8,6,3
160,16:29.6,135,21,f,cheaper_the_better,S,6,8,7,5,7,6,9,Student,WI,50_100,5,6,5,6
161,01:42.1,155,27,f,cheaper_the_better,L,5,5,4,7,5,4,2,Student,CA,50_100,9,6,2,4
